,Lista/Pacto,Partido,Votos,comuna,comuna_id,circ_electoral,circ_electoral_id,mesa,id_mesa,Porcentaje,Candidatos,Electo,,distrito
0,XP.VAMOS POR CHILE,IND-UDI,5,ARICA,2822,ARICA,7001,2M-11M,70010002,"5,21%",10. POLLYANA RIVERA BIGAS (M),,*,1.0
0,XP.VAMOS POR CHILE,UDI,,ARICA,2822,ARICA,7001,2M-11M,70010002,"0,00%",11. VALERIO PATRICIO CAÑIPA TARQUE (H),,,1.0
0,XP.VAMOS POR CHILE,RN,2,ARICA,2822,ARICA,7001,2M-11M,70010002,"2,08%",12. MARIA CALATAYUD SAAVEDRA (M),,,1.0
0,XP.VAMOS POR CHILE,RN,2,ARICA,2822,ARICA,7001,2M-11M,70010002,"2,08%",13. HECTOR MILLA BRAVO (H),,,1.0
0,XP.VAMOS POR CHILE,IND-EVOPOLI,3,ARICA,2822,ARICA,7001,2M-11M,70010002,"3,12%",14. BRUNELLA VINET MATTASOGLIO (M),,,1.0
0,XP.VAMOS POR CHILE,IND-EVOPOLI,,ARICA,2822,ARICA,7001,2M-11M,70010002,"0,00%",15. FRANCISCO JAVIER GONZALEZ SILVA (H),,,1.0
0,YB.LISTA DEL APRUEBO,PS,,ARICA,2822,ARICA,7001,2M-11M,70010002,"0,00%",16. HORTENCIA HIDALGO CACERES (M),,,1.0
0,YB.LISTA DEL APRUEBO,IND-PL,7,ARICA,2822,ARICA,7001,2M-11M,70010002,"7,29%",17. JORGE BRUNO ABARCA RIVEROS (H),,*,1.0
0,YB.LISTA DEL APRUEBO,IND-PRO,3,ARICA,2822,ARICA,7001,2M-11M,70010002,"3,12%",18. IRIS ANDREA RUBIO MEDINA (M),,,1.0
0,YB.LISTA DEL APRUEBO,PDC,4,ARICA,2822,ARICA,7001,2M-11M,70010002,"4,17%",19. RAUL  CASTRO LETELIER (H),,,1.0
0,YB.LISTA DEL APRUEBO,PR,,ARICA,2822,ARICA,7001,2M-11M,70010002,"0,00%",20. ERNESTINA DEL CARMEN SILVA VILLEGAS (M),,,1.0
0,YB.LISTA DEL APRUEBO,PS,,ARICA,2822,ARICA,7001,2M-11M,70010002,"0,00%",21. ENZO VARENS ALVAREZ (H),,,1.0
0,YQ.APRUEBO DIGNIDAD,PCCH,6,ARICA,2822,ARICA,7001,2M-11M,70010002,"6,25%",22. CAROLINA ELIANA VIDELA OSORIO (M),,*,1.0
0,YQ.APRUEBO DIGNIDAD,PCCH,3,ARICA,2822,ARICA,7001,2M-11M,70010002,"3,12%",23. CARLOS ALBERTO YEVENES TORRES (H),,,1.0
0,YQ.APRUEBO DIGNIDAD,IND-FREVS,3,ARICA,2822,ARICA,7001,2M-11M,70010002,"3,12%",24. SHEILA MARIANELLA SANCHEZ COPAJA (M),,,1.0
0,YQ.APRUEBO DIGNIDAD,IND-FREVS,3,ARICA,2822,ARICA,7001,2M-11M,70010002,"3,12%",25. HERMANN ROBERTO MONDACA RAITERI (H),,,1.0
0,YQ.APRUEBO DIGNIDAD,IND-COMUNES,3,ARICA,2822,ARICA,7001,2M-11M,70010002,"3,12%",26. OSCAR BORIS PALLERES FLORES (H),,,1.0
0,YV.INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1),IND,3,ARICA,2822,ARICA,7001,2M-11M,70010002,"3,12%",27. CATALINA DANIELA CABRERA MALDONADO (M),,,1.0
0,YV.INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1),IND,2,ARICA,2822,ARICA,7001,2M-11M,70010002,"2,08%",28. EDWIN RENE BRICEÑO COBB (H),,,1.0
0,YV.INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1),IND,2,ARICA,2822,ARICA,7001,2M-11M,70010002,"2,08%",29. JUDITH ESTHER LUNA DUARTE (M),,,1.0
0,YV.INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1),IND,3,ARICA,2822,ARICA,7001,2M-11M,70010002,"3,12%",30. RAFAEL ANDRES VARGAS MALDONADO (H),,,1.0
0,YV.INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1),IND,,ARICA,2822,ARICA,7001,2M-11M,70010002,"0,00%",31. SARA FERNANDA VILLARROEL SAN MARTIN (M),,,1.0
